id,thumb,title,person,episode,youtube,transcript
441,https://lexfridman.com/files/thumbs_ai_podcast/cenk_uygur.png,"Trump vs Harris, Progressive Politics, Communism & Capitalism",Cenk Uygur,https://lexfridman.com/cenk-uygur,https://www.youtube.com/watch?v=QJtPROVsePk,https://lexfridman.com/cenk-uygur-transcript
440,https://lexfridman.com/files/thumbs_ai_podcast/pieter_levels.png,"Programming, Viral AI Startups, and Digital Nomad Life",Pieter Levels,https://lexfridman.com/pieter-levels,https://www.youtube.com/watch?v=oFtjKbXKqbg,https://lexfridman.com/pieter-levels-transcript
439,https://lexfridman.com/files/thumbs_ai_podcast/craig_jones_2.png,"Jiu Jitsu, $2 Million Prize, CJI, ADCC, Ukraine & Trolling",Craig Jones,https://lexfridman.com/craig-jones-2,https://www.youtube.com/watch?v=J7aiEwp1x9k,https://lexfridman.com/craig-jones-2-transcript
438,https://lexfridman.com/files/thumbs_ai_podcast/elon_musk_and_neuralink_team.png,Neuralink and the Future of Humanity,Elon Musk and Neuralink Team,https://lexfridman.com/elon-musk-and-neuralink-team,https://www.youtube.com/watch?v=Kbk9BiPhm7o,https://lexfridman.com/elon-musk-and-neuralink-team-transcript
437,https://lexfridman.com/files/thumbs_ai_podcast/jordan_jonas.png,"Survival, Hunting, Siberia, God, and Winning Alone Season 6",Jordan Jonas,https://lexfridman.com/jordan-jonas,https://www.youtube.com/watch?v=WA9gVKKPsBo,https://lexfridman.com/jordan-jonas-transcript
436,https://lexfridman.com/files/thumbs_ai_podcast/ivanka_trump.png,"Politics, Family, Real Estate, Fashion, Music, and Life",Ivanka Trump,https://lexfridman.com/ivanka-trump,https://www.youtube.com/watch?v=2oxdDKHdcM8,https://lexfridman.com/ivanka-trump-transcript
435,https://lexfridman.com/files/thumbs_ai_podcast/andrew_huberman_5.png,"Focus, Controversy, Politics, and Relationships",Andrew Huberman,https://lexfridman.com/andrew-huberman-5,https://www.youtube.com/watch?v=ZIyB9e_7a4c,https://lexfridman.com/andrew-huberman-5-transcript
434,https://lexfridman.com/files/thumbs_ai_podcast/aravind_srinivas.png,"Perplexity CEO on Future of AI, Search & the Internet",Aravind Srinivas,https://lexfridman.com/aravind-srinivas,https://www.youtube.com/watch?v=e-gwvmhyU7A,https://lexfridman.com/aravind-srinivas-transcript
433,https://lexfridman.com/files/thumbs_ai_podcast/sara_walker_3.png,"Physics of Life, Time, Complexity, and Aliens",Sara Walker,https://lexfridman.com/sara-walker-3,https://www.youtube.com/watch?v=wwhTfyX9J34,https://lexfridman.com/sara-walker-3-transcript
432,https://lexfridman.com/files/thumbs_ai_podcast/kevin_spacey.png,"Power, Controversy, Betrayal, Truth & Love in Film and Life",Kevin Spacey,https://lexfridman.com/kevin-spacey,https://www.youtube.com/watch?v=XJTMQtE-MIo,https://lexfridman.com/kevin-spacey-transcript
431,https://lexfridman.com/files/thumbs_ai_podcast/roman_yampolskiy.png,Dangers of Superintelligent AI,Roman Yampolskiy,https://lexfridman.com/roman-yampolskiy,https://www.youtube.com/watch?v=NNr6gPelJ3E,https://lexfridman.com/roman-yampolskiy-transcript
430,https://lexfridman.com/files/thumbs_ai_podcast/charan_ranganath.png,"Human Memory, Imagination, Deja Vu, and False Memories",Charan Ranganath,https://lexfridman.com/charan-ranganath,https://www.youtube.com/watch?v=4iuepdI3wCU,https://lexfridman.com/charan-ranganath-transcript
429,https://lexfridman.com/files/thumbs_ai_podcast/paul_rosolie_2.png,"Jungle, Apex Predators, Aliens, Uncontacted Tribes, and God",Paul Rosolie,https://lexfridman.com/paul-rosolie-2,https://www.youtube.com/watch?v=pwN8u6HFH8U,https://lexfridman.com/paul-rosolie-2-transcript
428,https://lexfridman.com/files/thumbs_ai_podcast/sean_carroll_3.png,"General Relativity, Quantum Mechanics, Black Holes & Aliens",Sean Carroll,https://lexfridman.com/sean-carroll-3,https://www.youtube.com/watch?v=tdv7r2JSokI,https://lexfridman.com/sean-carroll-3-transcript
427,https://lexfridman.com/files/thumbs_ai_podcast/neil_adams.png,"Judo, Olympics, Winning, Losing, and the Champion Mindset",Neil Adams,https://lexfridman.com/neil-adams,https://www.youtube.com/watch?v=TXabC2Ave74,https://lexfridman.com/neil-adams-transcript
426,https://lexfridman.com/files/thumbs_ai_podcast/edward_gibson.png,"Human Language, Psycholinguistics, Syntax, Grammar & LLMs",Edward Gibson,https://lexfridman.com/edward-gibson,https://www.youtube.com/watch?v=F3Jd9GI6XqE,https://lexfridman.com/edward-gibson-transcript
425,https://lexfridman.com/files/thumbs_ai_podcast/andrew_callaghan.png,"Channel 5, Gonzo, QAnon, O-Block, Politics & Alex Jones",Andrew Callaghan,https://lexfridman.com/andrew-callaghan,https://www.youtube.com/watch?v=yEou104m_P0,https://lexfridman.com/andrew-callaghan-transcript
424,https://lexfridman.com/files/thumbs_ai_podcast/bassem_youssef.png,"Israel-Palestine, Gaza, Hamas, Middle East, Satire & Fame",Bassem Youssef,https://lexfridman.com/bassem-youssef,https://www.youtube.com/watch?v=sG8u6owzad4,https://lexfridman.com/bassem-youssef-transcript
423,https://lexfridman.com/files/thumbs_ai_podcast/tulsi_gabbard.png,"War, Politics, and the Military Industrial Complex",Tulsi Gabbard,https://lexfridman.com/tulsi-gabbard,https://www.youtube.com/watch?v=_El9riy9Zjw,https://lexfridman.com/tulsi-gabbard-transcript
