thumb,youtube,title,episode,transcript
https://lexfridman.com/files/thumbs_ai_podcast/jack_barsky.png,https://www.youtube.com/watch?v=dSVLjAdo8UA,KGB Spy,https://lexfridman.com/jack-barsky,
https://lexfridman.com/files/thumbs_ai_podcast/joe_rogan_2.png,https://www.youtube.com/watch?v=gk4tEO4jDUM,"Comedy, Controversy, Aliens, UFOs, Putin, CIA, and Freedom",https://lexfridman.com/joe-rogan-2,
https://lexfridman.com/files/thumbs_ai_podcast/demis_hassabis.png,https://www.youtube.com/watch?v=Gfr50f6ZBvo,"DeepMind - AI, Superintelligence & the Future of Humanity",https://lexfridman.com/demis-hassabis,
https://lexfridman.com/files/thumbs_ai_podcast/susan_cain.png,https://www.youtube.com/watch?v=j4PEu4sVD40,The Power of Introverts and Loneliness,https://lexfridman.com/susan-cain,
https://lexfridman.com/files/thumbs_ai_podcast/jonathan_reisman.png,https://www.youtube.com/watch?v=XOPO9J7DIXw,The Human Body - From Sex & Sperm to Hands & Heart,https://lexfridman.com/jonathan-reisman,
https://lexfridman.com/files/thumbs_ai_podcast/douglas_murray.png,https://www.youtube.com/watch?v=EG7I6Bt_NZY,"Racism, Marxism, and the War on the West",https://lexfridman.com/douglas-murray,
https://lexfridman.com/files/thumbs_ai_podcast/richard_wolff.png,https://www.youtube.com/watch?v=o0Bi-q89j5Y,Marxism and Communism,https://lexfridman.com/richard-wolff,
https://lexfridman.com/files/thumbs_ai_podcast/tony_fadell.png,https://www.youtube.com/watch?v=4oDZyOf6CW4,"iPhone, iPod, Nest, Steve Jobs, Design, and Engineering",https://lexfridman.com/tony-fadell,
https://lexfridman.com/files/thumbs_ai_podcast/donald_hoffman.png,https://www.youtube.com/watch?v=reYdQYZ9Rj4,Reality is an Illusion - How Evolution Hid the Truth,https://lexfridman.com/donald-hoffman,
https://lexfridman.com/files/thumbs_ai_podcast/robin_hanson.png,https://www.youtube.com/watch?v=KBZP4rLk6bk,"Alien Civilizations, UFOs, and the Future of Humanity",https://lexfridman.com/robin-hanson,
https://lexfridman.com/files/thumbs_ai_podcast/jonathan_haidt.png,https://www.youtube.com/watch?v=f0un-l1L8Zw,The Case Against Social Media,https://lexfridman.com/jonathan-haidt,
https://lexfridman.com/files/thumbs_ai_podcast/dan_reynolds.png,https://www.youtube.com/watch?v=jvGZkf87aCs,Imagine Dragons,https://lexfridman.com/dan-reynolds,
https://lexfridman.com/files/thumbs_ai_podcast/stephen_kotkin_2.png,https://www.youtube.com/watch?v=2a7CDKqWcZ0,"Putin, Stalin, Hitler, Zelenskyy, and War in Ukraine",https://lexfridman.com/stephen-kotkin-2,
https://lexfridman.com/files/thumbs_ai_podcast/sarma_melngailis.png,https://www.youtube.com/watch?v=iZjby1LkTWQ,"Bad Vegan, Fraud, Prison, and Sociopathy",https://lexfridman.com/sarma-melngailis,
https://lexfridman.com/files/thumbs_ai_podcast/bobby_lee.png,https://www.youtube.com/watch?v=tOTenjh_8hw,"Comedy, Skyrim, Sex Robots, Love, Fame, and Power",https://lexfridman.com/bobby-lee,
https://lexfridman.com/files/thumbs_ai_podcast/oliver_stone.png,https://www.youtube.com/watch?v=ygAqYC8JOQI,Vladimir Putin and War in Ukraine,https://lexfridman.com/oliver-stone,
https://lexfridman.com/files/thumbs_ai_podcast/glenn_loury.png,https://www.youtube.com/watch?v=YbJZnShMQAo,"Race, Racism, Identity Politics, and Cancel Culture",https://lexfridman.com/glenn-loury,
https://lexfridman.com/files/thumbs_ai_podcast/saifedean_ammous.png,https://www.youtube.com/watch?v=gp4U5aH_T6A,"Bitcoin, Anarchy, and Austrian Economics",https://lexfridman.com/saifedean-ammous,
https://lexfridman.com/files/thumbs_ai_podcast/chris_mason.png,https://www.youtube.com/watch?v=1C2tPFCGL1U,"Space Travel, Colonization, and Long-Term Survival in Space",https://lexfridman.com/chris-mason,
https://lexfridman.com/files/thumbs_ai_podcast/david_buss.png,https://www.youtube.com/watch?v=sndW9hzX-wA,"Sex, Dating, Relationships, and Sex Differences",https://lexfridman.com/david-buss,
https://lexfridman.com/files/thumbs_ai_podcast/grimes.png,https://www.youtube.com/watch?v=KOwm7GUjcg8,"Music, AI, and the Future of Humanity",https://lexfridman.com/grimes,
https://lexfridman.com/files/thumbs_ai_podcast/cristiano_amon.png,https://www.youtube.com/watch?v=KMgPxVnKLSk,Qualcomm CEO,https://lexfridman.com/cristiano-amon,
https://lexfridman.com/files/thumbs_ai_podcast/alien_debate.png,https://www.youtube.com/watch?v=SFxIazwNP_0,Sara Walker and Lee Cronin,https://lexfridman.com/alien-debate,
https://lexfridman.com/files/thumbs_ai_podcast/skye_fitzgerald.png,https://www.youtube.com/watch?v=dHTgffkpeYo,"Hunger, War, and Human Suffering",https://lexfridman.com/skye-fitzgerald,
https://lexfridman.com/files/thumbs_ai_podcast/andrew_huberman_3.png,https://www.youtube.com/watch?v=lvh3g7eszVQ,"Focus, Stress, Relationships, and Friendship",https://lexfridman.com/andrew-huberman-3,
https://lexfridman.com/files/thumbs_ai_podcast/michael_saylor.png,https://www.youtube.com/watch?v=mC43pZkpTec,"Bitcoin, Inflation, and the Future of Money",https://lexfridman.com/michael-saylor,
https://lexfridman.com/files/thumbs_ai_podcast/rick_rubin.png,https://www.youtube.com/watch?v=H_szemxPcTI,Legendary Music Producer,https://lexfridman.com/rick-rubin,
https://lexfridman.com/files/thumbs_ai_podcast/karl_deisseroth.png,https://www.youtube.com/watch?v=OaeYUm06in0,"Depression, Schizophrenia, and Psychiatry",https://lexfridman.com/karl-deisseroth,
https://lexfridman.com/files/thumbs_ai_podcast/chris_blattman.png,https://www.youtube.com/watch?v=DbXjoXnIxQo,War and Violence,https://lexfridman.com/chris-blattman,
https://lexfridman.com/files/thumbs_ai_podcast/brett_johnson.png,https://www.youtube.com/watch?v=cC1LFC0KFSw,US Most Wanted Cybercriminal,https://lexfridman.com/brett-johnson,
https://lexfridman.com/files/thumbs_ai_podcast/ariel_ekblaw.png,https://www.youtube.com/watch?v=KW8Vjs84Fxg,Space Colonization and Self-Assembling Space Megastructures,https://lexfridman.com/ariel-ekblaw,
https://lexfridman.com/files/thumbs_ai_podcast/david_wolpe.png,https://www.youtube.com/watch?v=urdNsyZBqhQ,Judaism,https://lexfridman.com/david-wolpe,
