episode,thumb,title,person,episode
407,https://lexfridman.com/files/thumbs_ai_podcast/guillaume_verdon.png,"Beff Jezos, E/acc Movement, Physics, Computation & AGI",Guillaume Verdon,https://lexfridman.com/guillaume-verdon
406,https://lexfridman.com/files/thumbs_ai_podcast/teddy_atlas.png,"Mike Tyson, Cus D'Amato, Boxing, Loyalty, Fear & Greatness",Teddy Atlas,https://lexfridman.com/teddy-atlas
405,https://lexfridman.com/files/thumbs_ai_podcast/jeff_bezos.png,Amazon and Blue Origin,Jeff Bezos,https://lexfridman.com/jeff-bezos
404,https://lexfridman.com/files/thumbs_ai_podcast/lee_cronin_3.png,Controversial Nature Paper on Evolution of Life and Universe,Lee Cronin,https://lexfridman.com/lee-cronin-3
403,https://lexfridman.com/files/thumbs_ai_podcast/lisa_randall.png,"Dark Matter, Theoretical Physics, and Extinction Events",Lisa Randall,https://lexfridman.com/lisa-randall
402,https://lexfridman.com/files/thumbs_ai_podcast/michael_malice_7.png,Thanksgiving Pirate Special,Michael Malice,https://lexfridman.com/michael-malice-7
401,https://lexfridman.com/files/thumbs_ai_podcast/john_mearsheimer.png,"Israel-Palestine, Russia-Ukraine, China, NATO, and WW3",John Mearsheimer,https://lexfridman.com/john-mearsheimer
400,https://lexfridman.com/files/thumbs_ai_podcast/elon_musk_4.png,"War, AI, Aliens, Politics, Physics, Video Games, and Humanity",Elon Musk,https://lexfridman.com/elon-musk-4
399,https://lexfridman.com/files/thumbs_ai_podcast/jared_kushner.png,"Israel, Palestine, Hamas, Gaza, Iran, and the Middle East",Jared Kushner,https://lexfridman.com/jared-kushner
398,https://lexfridman.com/files/thumbs_ai_podcast/mark_zuckerberg_3.png,First Interview in the Metaverse,Mark Zuckerberg,https://lexfridman.com/mark-zuckerberg-3
397,https://lexfridman.com/files/thumbs_ai_podcast/greg_lukianoff.png,"Cancel Culture, Deplatforming, Censorship & Free Speech",Greg Lukianoff,https://lexfridman.com/greg-lukianoff
396,https://lexfridman.com/files/thumbs_ai_podcast/james_sexton.png,"Divorce Lawyer on Marriage, Relationships, Sex, Lies & Love",James Sexton,https://lexfridman.com/james-sexton
395,https://lexfridman.com/files/thumbs_ai_podcast/walter_isaacson.png,"Elon Musk, Steve Jobs, Einstein, Da Vinci & Ben Franklin",Walter Isaacson,https://lexfridman.com/walter-isaacson
394,https://lexfridman.com/files/thumbs_ai_podcast/neri_oxman.png,"Biology, Art, and Science of Design & Engineering with Nature",Neri Oxman,https://lexfridman.com/neri-oxman
393,https://lexfridman.com/files/thumbs_ai_podcast/andrew_huberman_4.png,"Relationships, Drama, Betrayal, Sex, and Love",Andrew Huberman,https://lexfridman.com/andrew-huberman-4
392,https://lexfridman.com/files/thumbs_ai_podcast/joscha_bach_3.png,"Life, Intelligence, Consciousness, AI & the Future of Humans",Joscha Bach,https://lexfridman.com/joscha-bach-3
391,https://lexfridman.com/files/thumbs_ai_podcast/mohammed_el_kurd.png,Palestine,Mohammed El-Kurd,https://lexfridman.com/mohammed-el-kurd
390,https://lexfridman.com/files/thumbs_ai_podcast/yuval_noah_harari.png,"Human Nature, Intelligence, Power, and Conspiracies",Yuval Noah Harari,https://lexfridman.com/yuval-noah-harari
389,https://lexfridman.com/files/thumbs_ai_podcast/benjamin_netanyahu.png,"Israel, Palestine, Power, Corruption, Hate, and Peace",Benjamin Netanyahu,https://lexfridman.com/benjamin-netanyahu
388,https://lexfridman.com/files/thumbs_ai_podcast/robert_f_kennedy_jr.png,"CIA, Power, Corruption, War, Freedom, and Meaning",Robert F Kennedy Jr,https://lexfridman.com/robert-f-kennedy-jr
387,https://lexfridman.com/files/thumbs_ai_podcast/george_hotz_3.png,"Tiny Corp, Twitter, AI Safety, Self-Driving, GPT, AGI & God",George Hotz,https://lexfridman.com/george-hotz-3
386,https://lexfridman.com/files/thumbs_ai_podcast/marc_andreessen.png,"Future of the Internet, Technology, and AI",Marc Andreessen,https://lexfridman.com/marc-andreessen
385,https://lexfridman.com/files/thumbs_ai_podcast/jimmy_wales.png,Wikipedia,Jimmy Wales,https://lexfridman.com/jimmy-wales
384,https://lexfridman.com/files/thumbs_ai_podcast/matthew_mcconaughey.png,"Freedom, Truth, Family, Hardship, and Love",Matthew McConaughey,https://lexfridman.com/matthew-mcconaughey
383,https://lexfridman.com/files/thumbs_ai_podcast/mark_zuckerberg_2.png,"Future of AI at Meta, Facebook, Instagram, and WhatsApp",Mark Zuckerberg,https://lexfridman.com/mark-zuckerberg-2
382,https://lexfridman.com/files/thumbs_ai_podcast/bert_kreischer.png,"Comedy, Drinking, Rogan, Segura, Churchill & Kim Jong Un",Bert Kreischer,https://lexfridman.com/bert-kreischer
381,https://lexfridman.com/files/thumbs_ai_podcast/chris_lattner_3.png,Future of Programming and AI,Chris Lattner,https://lexfridman.com/chris-lattner-3
380,https://lexfridman.com/files/thumbs_ai_podcast/neil_gershenfeld.png,Self-Replicating Robots and the Future of Fabrication,Neil Gershenfeld,https://lexfridman.com/neil-gershenfeld
379,https://lexfridman.com/files/thumbs_ai_podcast/randall_kennedy.png,"The N-Word - History of Race, Law, Politics, and Power",Randall Kennedy,https://lexfridman.com/randall-kennedy
378,https://lexfridman.com/files/thumbs_ai_podcast/anna_frebel.png,"Origin and Evolution of the Universe, Galaxies, and Stars",Anna Frebel,https://lexfridman.com/anna-frebel
377,https://lexfridman.com/files/thumbs_ai_podcast/harvey_silverglate.png,Freedom of Speech,Harvey Silverglate,https://lexfridman.com/harvey-silverglate
376,https://lexfridman.com/files/thumbs_ai_podcast/stephen_wolfram_4.png,"ChatGPT and the Nature of Truth, Reality & Computation",Stephen Wolfram,https://lexfridman.com/stephen-wolfram-4
375,https://lexfridman.com/files/thumbs_ai_podcast/david_pakman.png,"Politics of Trump, Biden, Bernie, AOC, Socialism & Wokeism",David Pakman,https://lexfridman.com/david-pakman
374,https://lexfridman.com/files/thumbs_ai_podcast/robert_playter.png,Boston Dynamics CEO on Humanoid and Legged Robotics,Robert Playter,https://lexfridman.com/robert-playter
373,https://lexfridman.com/files/thumbs_ai_podcast/manolis_kellis_5.png,Evolution of Human Civilization and Superintelligent AI,Manolis Kellis,https://lexfridman.com/manolis-kellis-5
372,https://lexfridman.com/files/thumbs_ai_podcast/simone_giertz.png,"Queen of Sh*tty Robots, Innovative Engineering, and Design",Simone Giertz,https://lexfridman.com/simone-giertz
371,https://lexfridman.com/files/thumbs_ai_podcast/max_tegmark_3.png,The Case for Halting AI Development,Max Tegmark,https://lexfridman.com/max-tegmark-3
370,https://lexfridman.com/files/thumbs_ai_podcast/edward_frenkel.png,"Reality is a Paradox - Mathematics, Physics, Truth & Love",Edward Frenkel,https://lexfridman.com/edward-frenkel
369,https://lexfridman.com/files/thumbs_ai_podcast/paul_rosolie.png,"Amazon Jungle, Uncontacted Tribes, Anacondas, and Ayahuasca",Paul Rosolie,https://lexfridman.com/paul-rosolie
368,https://lexfridman.com/files/thumbs_ai_podcast/eliezer_yudkowsky.png,Dangers of AI and the End of Human Civilization,Eliezer Yudkowsky,https://lexfridman.com/eliezer-yudkowsky
367,https://lexfridman.com/files/thumbs_ai_podcast/sam_altman.png,"OpenAI CEO on GPT-4, ChatGPT, and the Future of AI",Sam Altman,https://lexfridman.com/sam-altman
366,https://lexfridman.com/files/thumbs_ai_podcast/shannon_curry.png,"Johnny Depp & Amber Heard Trial, Marriage, Dating & Love",Shannon Curry,https://lexfridman.com/shannon-curry
365,https://lexfridman.com/files/thumbs_ai_podcast/sam_harris_2.png,"Trump, Pandemic, Twitter, Elon, Bret, IDW, Kanye, AI & UFOs",Sam Harris,https://lexfridman.com/sam-harris-2
364,https://lexfridman.com/files/thumbs_ai_podcast/chris_voss.png,FBI Hostage Negotiator,Chris Voss,https://lexfridman.com/chris-voss
363,https://lexfridman.com/files/thumbs_ai_podcast/b_team.png,"Craig Jones, Nicky Rod, and Nicky Ryan","Craig Jones, Nicky Rod, Nicky Ryan",https://lexfridman.com/b-team
362,https://lexfridman.com/files/thumbs_ai_podcast/ginni_rometty.png,"IBM CEO on Leadership, Power, and Adversity",Ginni Rometty,https://lexfridman.com/ginni-rometty
361,https://lexfridman.com/files/thumbs_ai_podcast/aaron_smith_levin.png,Scientology,Aaron Smith-Levin,https://lexfridman.com/aaron-smith-levin
